country,ip,prefixlength,version
DZ,213.179.160.0,19,ipv4
DZ,197.200.0.0,13,ipv4
DZ,197.140.0.0,14,ipv4
DZ,197.112.0.0,13,ipv4
DZ,196.41.224.0,19,ipv4
DZ,196.29.40.0,22,ipv4
DZ,196.20.64.0,18,ipv4
DZ,195.39.218.0,23,ipv4
DZ,195.24.80.0,21,ipv4
DZ,193.194.64.0,19,ipv4
DZ,193.41.146.0,23,ipv4
DZ,192.245.148.0,24,ipv4
DZ,192.52.232.0,24,ipv4
DZ,168.253.96.0,20,ipv4
DZ,154.240.0.0,12,ipv4
DZ,154.121.0.0,16,ipv4
DZ,154.73.92.0,22,ipv4
DZ,129.45.0.0,17,ipv4
DZ,105.235.128.0,20,ipv4
DZ,105.96.0.0,12,ipv4
DZ,102.220.28.0,22,ipv4
DZ,102.218.188.0,22,ipv4
DZ,102.213.56.0,22,ipv4
DZ,80.249.64.0,20,ipv4
DZ,80.246.0.0,20,ipv4
DZ,80.88.12.0,22,ipv4
DZ,41.223.236.0,22,ipv4
DZ,41.221.16.0,20,ipv4
DZ,41.220.144.0,20,ipv4
DZ,41.200.0.0,15,ipv4
DZ,41.96.0.0,12,ipv4
